Algorithm,nn,sim,bin,nb,nt,nDCGRendle2020,Recall,HR,Precision,MAP,MRR,ItemCoverage,ACLT,APLT,Gini,SEntropy,EFD,EPC,PopREO,PopRSP,Filename_Model,tr,k,imp,shrink,norm,asymalpha,tvalpha,tvbeta,rweights,preposp,strat,val,h,t,thres,w,CR
UserANNOY,250,angular,False,,,0.0245820691293008,0.0286629915409383,0.2632696390658174,0.0188959660297239,0.0191605871607436,0.0529886048300445,225.0,6.144373673036093,0.3072186836518046,0.0631823175508365,6.843328351841218,0.171285085544455,0.0165028054026051,0.4982269031441304,0.7365822615901554,UserANNOY,1.0,-1.0,,,,,,,,,nan,,,,,,0.0010615711252653
UserANNOY,100,angular,False,,,0.0219593727723455,0.0271597100775612,0.2399150743099787,0.0166666666666666,0.0162356000196902,0.0434443003959479,228.0,7.400212314225053,0.3700106157112526,0.0655997364592543,6.861566284667358,0.1526838840628767,0.0145052989744267,0.2670535446581892,0.6654181070594785,UserANNOY,1.0,-1.0,,,,,,,,,nan,,,,,,0.0010615711252653
UserANNOY,50,angular,False,,,0.0202162394221997,0.0252539966414375,0.227176220806794,0.0154458598726114,0.0147927821940055,0.039753895899382,236.0,7.777070063694268,0.3888535031847134,0.061672553776025,6.787807365153176,0.1425884896503554,0.0134346273288552,0.1857853753063851,0.6425214836795624,UserANNOY,1.0,-1.0,,,,,,,,,nan,,,,,,0.0010615711252653
ItemFairANN,250,cosine,False,,3.0,0.0299842909356805,0.0277242288093241,0.2929936305732484,0.0214968152866242,0.0257376745246056,0.0857494672601355,1078.0,12.266454352441611,0.6133227176220807,0.2649333976423194,8.820905741478585,0.2126448164802492,0.0208950111979844,0.7503492595697122,0.2965556407328517,ItemFairANN,,,,,,,,,,,opt,False,10.0,3.0,0$5,1.0,0.0049100106543158
ItemFairANN,100,cosine,False,,3.0,0.0299842909356805,0.0277242288093241,0.2929936305732484,0.0214968152866242,0.0257376745246056,0.0857494672601355,1078.0,12.266454352441611,0.6133227176220807,0.2649333976423194,8.820905741478585,0.2126448164802492,0.0208950111979844,0.7503492595697122,0.2965556407328517,ItemFairANN,,,,,,,,,,,no_sampling,False,10.0,3.0,0$5,1.0,0.0049100106543158
ItemFairANN,250,cosine,False,,3.0,0.0299842909356805,0.0277242288093241,0.2929936305732484,0.0214968152866242,0.0257376745246056,0.0857494672601355,1078.0,12.266454352441611,0.6133227176220807,0.2649333976423194,8.820905741478585,0.2126448164802492,0.0208950111979844,0.7503492595697122,0.2965556407328517,ItemFairANN,,,,,,,,,,,no_sampling,False,10.0,3.0,0$5,1.0,0.0049100106543158
ItemFairANN,250,cosine,False,,3.0,0.0299842909356805,0.0277242288093241,0.2929936305732484,0.0214968152866242,0.0257376745246056,0.0857494672601355,1078.0,12.266454352441611,0.6133227176220807,0.2649333976423194,8.820905741478585,0.2126448164802492,0.0208950111979844,0.7503492595697122,0.2965556407328517,ItemFairANN,,,,,,,,,,,rank,False,10.0,3.0,0$5,1.0,0.0049100106543158
ItemFairANN,100,cosine,False,,3.0,0.029498716923432,0.0272317312377452,0.2908704883227176,0.0214968152866242,0.0253509280770624,0.0832003498669754,1073.0,12.301486199575372,0.6150743099787686,0.2640570300912461,8.81642745451416,0.2096012486960132,0.0205999207755265,0.7503492595697122,0.2931810106967868,ItemFairANN,,,,,,,,,,,uniform,False,10.0,3.0,0$5,1.0,0.0048747897753788
ItemFairANN,100,cosine,False,,3.0,0.0300380502977337,0.0277454602318294,0.2929936305732484,0.0215498938428874,0.0257817431074527,0.0858474098341927,1079.0,12.247346072186836,0.6123673036093418,0.2651929190762837,8.821783977845222,0.2130745125599834,0.0209384904395018,0.7509320882260706,0.2983908574546587,ItemFairANN,,,,,,,,,,,opt,False,10.0,3.0,0$5,1.0,0.0049072590231489
ItemFairANN,50,cosine,False,,3.0,0.0294744923214302,0.0275085674384043,0.2908704883227176,0.0213375796178343,0.0250294436307332,0.0840214648940812,1076.0,12.279193205944798,0.6139596602972398,0.2653045928910204,8.823765029558487,0.2086344641805334,0.0204897196954465,0.7485842917941683,0.2953300124026189,ItemFairANN,,,,,,,,,,,approx_degree,False,10.0,3.0,0$5,1.0,0.0048538773785099
